	Node	PI/Not a PI	Organisation	Internal Staff vs. External Staff	Faculty
709	56425285	0	Internal Staff	1	4
710	65118792	0	Internal Staff	1	4
711	14277225	0	Internal Staff	1	4
712	92583271	0	Internal Staff	1	4
713	86174544	0	Internal Staff	1	4
714	38082768	0	Internal Staff	1	4
715	73967442	0	Internal Staff	1	4
716	21219019	0	Internal Staff	1	4
717	72502691	0	Internal Staff	1	4
718	33214927	0	Internal Staff	1	4
719	89714048	0	Internal Staff	1	4
720	79308303	0	Internal Staff	1	4
721	93139432	0	Internal Staff	1	4
722	98578754	0	Internal Staff	1	4
723	99743242	0	Internal Staff	1	4
724	44847433	0	Internal Staff	1	4
725	49837540	0	Internal Staff	1	4
726	84558500	0	Internal Staff	1	4
727	57301504	0	Internal Staff	1	4
728	70289829	0	Internal Staff	1	4
729	22308450	0	Internal Staff	1	4
730	46145636	0	Internal Staff	1	4
731	89221564	0	Internal Staff	1	4
732	21860450	0	Internal Staff	1	4
733	74601487	0	Internal Staff	1	4
734	99119653	0	Internal Staff	1	4
735	94491413	0	Internal Staff	1	4
736	12800699	0	Internal Staff	1	4
737	52551912	0	Internal Staff	1	4
738	38876714	0	Internal Staff	1	4
739	12100007	0	Internal Staff	1	4
740	69801792	0	Internal Staff	1	4
741	24689365	0	Internal Staff	1	4
742	75745290	0	Internal Staff	1	4
743	42023064	0	Internal Staff	1	4
744	25336904	0	Internal Staff	1	4
745	37539742	0	Internal Staff	1	4
746	79744507	0	Internal Staff	1	4
747	51105282	0	Internal Staff	1	4
748	57609604	0	Internal Staff	1	4
749	39895091	0	Internal Staff	1	4
750	43711622	0	Internal Staff	1	4
751	74513122	0	Internal Staff	1	4
752	35650927	0	Internal Staff	1	4
753	43868962	0	Internal Staff	1	4
754	94617763	0	Internal Staff	1	4
755	46020243	0	Internal Staff	1	4
756	19877918	0	Internal Staff	1	4
757	74139104	0	Internal Staff	1	4
758	66675929	0	Internal Staff	1	4
759	90270421	0	Internal Staff	1	4
760	36834216	0	Internal Staff	1	4
761	25115206	0	Internal Staff	1	4
762	77695250	0	Internal Staff	1	4
763	41531568	0	Internal Staff	1	4
764	49284707	0	Internal Staff	1	4
765	11160045	0	Internal Staff	1	4
766	83326766	0	Internal Staff	1	4
767	20086433	0	Internal Staff	1	4
768	62649641	0	Internal Staff	1	4
769	12468811	0	Internal Staff	1	4
770	11807140	0	Internal Staff	1	4
771	71489993	0	Internal Staff	1	4
772	42018374	0	Internal Staff	1	4
773	55320724	0	Internal Staff	1	4
774	17058574	0	Internal Staff	1	4
775	70033341	0	Internal Staff	1	4
776	67347400	0	Internal Staff	1	4
777	80984366	0	Internal Staff	1	4
778	38607475	0	Internal Staff	1	4
779	88666220	0	Internal Staff	1	4
780	47679633	0	Internal Staff	1	4
781	19684637	0	Internal Staff	1	4
782	96185694	0	Internal Staff	1	4
783	66361284	0	Internal Staff	1	4
784	23652870	0	Internal Staff	1	4
785	16148509	0	Internal Staff	1	4
786	32657030	0	Internal Staff	1	4
787	64268854	0	Internal Staff	1	4
788	14252486	0	Internal Staff	1	4
789	73411132	0	Internal Staff	1	4
790	86671595	0	Internal Staff	1	4
791	29499365	0	Internal Staff	1	4
792	95587159	0	Internal Staff	1	4
793	20017427	0	Internal Staff	1	4
794	25329709	0	ABJ	2	0
795	81812052	0	ABJ	2	0
796	35409129	0	ABJ	2	0
797	52262477	0	ABJ	2	0
798	31667751	0	ABJ	2	0
799	78417424	0	ABJ	2	0
800	67992304	0	ABJ	2	0
801	58089617	0	ABJ	2	0
802	87037592	0	ABJ	2	0
803	33987076	0	ABJ	2	0
804	67259584	0	AGD	2	0
805	12990167	0	AGI	2	0
806	78854963	0	AGS	2	0
807	70591030	0	AHA	2	0
808	28316579	0	AJO	2	0
809	46323678	0	ALS	2	0
810	53498320	0	AOY	2	0
811	80613886	0	APY	2	0
812	34779955	0	AQR	2	0
813	23567166	0	AXO	2	0
814	76410027	0	BBJ	2	0
815	52321033	0	BBJ	2	0
816	19811271	0	BDL	2	0
817	25698924	0	BET	2	0
818	11593534	0	BFH	2	0
819	70451535	0	BFH	2	0
820	86259708	0	BFH	2	0
821	25650728	0	BFH	2	0
822	92628096	0	BFH	2	0
823	57697987	0	BGB	2	0
824	16096296	0	BGB	2	0
825	71695016	0	BKO	2	0
826	24900582	0	BKO	2	0
827	55435304	0	BKS	2	0
828	90032324	0	BKZ	2	0
829	88312395	0	BLW	2	0
830	43643505	0	BNA	2	0
831	81608677	0	BNA	2	0
832	76647995	0	BNA	2	0
833	27333454	0	BOS	2	0
834	57779578	0	BRB	2	0
835	66400534	0	BVE	2	0
836	31238956	0	BVX	2	0
837	83030145	0	BVX	2	0
838	51517032	0	BWI	2	0
839	66920930	0	BYG	2	0
840	62754987	0	BYG	2	0
841	50977939	0	CAC	2	0
842	36615306	0	CAN	2	0
843	39405862	0	CBA	2	0
844	98122584	0	CCR	2	0
845	76125285	0	CEN	2	0
846	89806320	0	CEN	2	0
847	13940997	0	CEN	2	0
848	40891673	0	CFG	2	0
849	78753169	0	CKI	2	0
850	30033836	0	CLJ	2	0
851	97971679	0	CMM	2	0
852	41509090	0	CMM	2	0
853	13603846	0	CMM	2	0
854	56180838	0	CMM	2	0
855	43923857	0	CMM	2	0
856	70507765	0	CMM	2	0
857	61643324	0	CMM	2	0
858	67100588	0	CMM	2	0
859	71396530	0	CMM	2	0
860	72546104	0	CMM	2	0
861	16511545	0	CUS	2	0
862	51106941	0	CUS	2	0
863	33218411	0	CUS	2	0
864	55184139	0	CUS	2	0
865	54207988	0	CXT	2	0
866	55706336	0	DAL	2	0
867	28019320	0	DAL	2	0
868	79164565	0	DAL	2	0
869	43435224	0	DAL	2	0
870	89781911	0	DAV	2	0
871	17398131	0	DFB	2	0
872	67944089	0	DFP	2	0
873	36323773	0	DFP	2	0
874	67355648	0	DFP	2	0
875	88885172	0	DFP	2	0
876	98343752	0	DGH	2	0
877	25695078	0	DJQ	2	0
